Prenom,Note,Pays,Titre,Positif,Négatif,Date séjour,Date commentaire,hotel
ابراهيم,4.0,Arabie saoudite,,Loin de Disneyland,Tous les restaurants ferment à 22h et les feux d'artifice de Disneyland ferment à 22h,Novembre 2022,Commentaire envoyé le 3 novembre 2022,newportBay
Alexandra,10.0,Israël,,"Tout est propre, hébergement incroyable, proche du parc",,Novembre 2022,Commentaire envoyé le 3 novembre 2022,newportBay
Iede,9.0,Pays-Bas,,tous ensemble et proches de Disney,rien,Octobre 2022,Commentaire envoyé le 30 octobre 2022,newportBay
Filipa,1.0,Portugal,,localisation,"ils n'ont pas nettoyé les chambres, manque d'hygiène",Octobre 2022,Commentaire envoyé le 23 octobre 2022,newportBay
Miguel,9.0,Espagne,,très confortable,rien de spécial,Septembre 2022,Commentaire envoyé le 18 octobre 2022,newportBay
Yoel,10.0,Israël,,"Emplacement central, près du parc, service courtois","Petites chambres, lits doubles exigus. Petit-déjeuner avec un supplément de 23 euros pour un enfant et 28 euros pour un adulte, l'attente est d'obtenir une plus grande variété de légumes et de fromages, le petit-déjeuner est plus conforme au goût d'un citoyen européen et moins d'un Israélien, beaucoup de saucisses, bacon et saucisses le matin.",Octobre 2022,Commentaire envoyé le 16 octobre 2022,newportBay
Bart,10.0,Belgique,,"excellent petit déjeuner, personnel au top",aucun commentaire,Octobre 2022,Commentaire envoyé le 14 octobre 2022,newportBay
אורי,10.0,Israël,,"Hôtel propre, personnel très sympathique, le Magic Pass est très efficace avec une navette toutes les 12 minutes de Disney à l'hôtel et retour. recommande fortement.",,Octobre 2022,Commentaire envoyé le 11 octobre 2022,newportBay
Luchis,3.0,Italie,,L'emplacement est pratique pour se rendre aux parcs Disney,Dans la chambre les bouteilles d'eau étaient toujours ouvertes et à moitié ouvertes ?! Il n'y avait pas de mini bar... dans un 4 étoiles ??!! contacter la réception c'est une attente interminable petit déjeuner en chambre JAMAIS à l'heure pour aller dans les parcs avec la poussette UNIQUE ascenseur biplace....,Octobre 2022,Commentaire envoyé le 11 octobre 2022,newportBay
Hila,9.0,Israël,,"L'emplacement était excellent, le service de navette pour Disney était également super. Nous avons adoré la rencontre du soir avec Gopi.",Les chambres sont un peu vétustes et le prix est très cher,Octobre 2022,Commentaire envoyé le 9 octobre 2022,newportBay
Nuno,10.0,Portugal,,"Chambre, paysage, personnel",Rien,Octobre 2022,Commentaire envoyé le 8 octobre 2022,newportBay
Andrea,10.0,Allemagne,,"Bonne organisation, le personnel est très sympathique et serviable.","Pas de minibar, pas de frigo. Il aurait été agréable",Octobre 2022,Commentaire envoyé le 2 octobre 2022,newportBay
Luca,10.0,Italie,,Tout afficher,Rien,Septembre 2022,Commentaire envoyé le 2 octobre 2022,newportBay
Yahav,1.0,Israël,,A 400 mètres de Disney,"Petites chambres, très loin à l'intérieur de l'hôtel, quinze minutes à pied de la chambre avec de jeunes enfants, vous ne pouvez pas ouvrir une fenêtre dans la chambre, pas d'air, étouffant",Octobre 2022,Commentaire envoyé le 1 octobre 2022,newportBay
William,9.0,Portugal,,La structure.,,Septembre 2022,Commentaire envoyé le 29 septembre 2022,newportBay
Gilad,1.0,Israël,,,"Une longue vérification, l'entretien des lieux me fait penser à un hôtel club. Beaucoup de défauts dans la chambre.",Septembre 2022,Commentaire envoyé le 27 septembre 2022,newportBay
Miguel,9.0,Espagne,,personnel et sécurité,prix des restaurants,Septembre 2022,Commentaire envoyé le 22 septembre 2022,newportBay
אהוד,10.0,Israël,,"Excellent petit déjeuner, excellent emplacement, personnel incroyable qui est toujours prêt à aider, nous avons passé un séjour amusant et incroyable",Rien,Septembre 2022,Commentaire envoyé le 22 septembre 2022,newportBay
Ronald,5.0,Autriche,,Très proche de Disneyland bien sûr. Très jolie de l'extérieur,communication par e-mail uniquement en français. Le personnel parlait à peine une autre langue. Petit déjeuner souterrain pour le montant.,Septembre 2022,Commentaire envoyé le 16 septembre 2022,newportBay
Anna,4.0,Allemagne,,L'emplacement de l'hôtel est incroyablement beau. Le parking est un plus.,La chambre est clairement trop petite pour 4 personnes. Il n'y avait pas de frigo dans la chambre !,Septembre 2022,Commentaire envoyé le 12 septembre 2022,newportBay
Enrique,10.0,Espagne,,L'emplacement du parc et des installations Il se compose d'une piscine parfaite,Le service de chambre manque un peu,Septembre 2022,Commentaire envoyé le 8 septembre 2022,newportBay
Nelma,5.0,Portugal,,Excellent emplacement pour Disney,L'odeur dans la chambre et le manque de services. Les clients portent eux-mêmes leurs bagages dans leur chambre.,Août 2022,Commentaire envoyé le 31 août 2022,newportBay
Legiest,5.0,Belgique,,"dans la chambre les lits étaient les meilleurs, en prime ce sont les mouchoirs le personnel est sympathique, juste dommage qu'ils parlent parfois trop doucement (pour les malentendants) et personne ne parle hollandais le petit déjeuner est correct, mais pour ce prix seulement modéré : pas d'oeufs à la carte, pas de cuisinier qui prépare des oeufs ou des pancakes ou..., le choix est somme toute limité ; un petit déjeuner quatre étoiles pour un prix cinq étoiles ; il aurait mieux valu distinguer les tranches d'âge, hyper chères pour les enfants de 6-7 ans ; ne s'applique pas qu'au petit-déjeuner, tous les autres restaurants de Newton Bay sont également beaucoup trop chers pour les enfants (prenons un exemple aux États-Unis : les enfants paient au maximum 50% des adultes là-bas) la navette va bien","les prix, surtout pour les enfants dans le parc, beaucoup trop de monde est admis, surtout le lundi c'était très long pour entrer, malgré que tout le monde ait ses billets. Résultat : c'était aussi très long de faire la queue à TOUTES les attractions (certaines attractions fermé ), les jeunes enfants ne peuvent pas faire la queue 45 minutes dans un parcours ennuyeux sans les animer (avec des chaînes Disney ou des personnages Disney ?!) Les stands de glaces et de sodas ne se font pas attendre, et ils sont (encore) hyper chers.. Notre chambre était la plus éloignée des ascenseurs, très peu pratique ; les ascenseurs devraient être beaucoup plus étendus, alors vous passez plus de magasins au lieu de couloirs ennuyeux et interminables pleins de portes avec des panneaux ""ne pas déranger""... eh bien si une centaine de personnes doivent passer votre porte ? A chaque fois avec un sac à dos passé au scanner, même si c'est quatre fois par jour, pire qu'à l'aéroport...",Août 2022,Commentaire envoyé le 30 août 2022,newportBay
Gennaro,1.0,Italie,,"l'emplacement, l'esthétique et le personnel","les services, le mini bar vide et l'absence de room service",Août 2022,Commentaire envoyé le 30 août 2022,newportBay
Enrico,9.0,Italie,,La structure,Le nettoyage,Août 2022,Commentaire envoyé le 30 août 2022,newportBay
Elke,10.0,Belgique,,Personnel sympathique et restaurants assez bons.,Non,Août 2022,Commentaire envoyé le 30 août 2022,newportBay
Erdal,1.0,Allemagne,,Pas propre Pas de minibar Sèche-cheveux vieux de 20 ans,Pour lui après 800€ je m'attendais à plus Hôtel une étoile,Août 2022,Commentaire envoyé le 27 août 2022,newportBay
Haustein,4.0,Allemagne,,Proximité de Disneyland,"Rapport qualité-prix. Pour 700 €, on s'attend tout simplement à plus. Le prix du luxe mais la prestation d'une chambre 2 étoiles.",Août 2022,Commentaire envoyé le 23 août 2022,newportBay
Piotr,2.0,Pologne,,Proche de Disneyland.,"Pas de réfrigérateur. Pas de magasin à prix normal. Emplacement généralement mauvais. Pas de boissons dans la chambre, y compris les bases - c'est-à-dire de l'EAU minérale à boire. Eau du robinet - chlore seul. Restaurants ouverts uniquement le soir. JE NE RECOMMANDE PAS pour un séjour de plus de 2 jours...",Août 2022,Commentaire envoyé le 23 août 2022,newportBay
Daniela,10.0,Bulgarie,,hôtel fabuleux,,Mai 2022,Commentaire envoyé le 12 août 2022,newportBay
Ali,10.0,Arabie saoudite,,"L'hôtel est beau et frais. Une belle nuit après une longue journée à Disneyland. Vue, organisation et personnel serviable. Remarque : L'hôtel propose un transport en bus depuis et vers l'hôtel, la gare et Disneyland. Je veux dire, si vous arrivez en train, vous irez aux arrêts de bus derrière la gare, et vous trouverez des bus. Chaque bus a le le nom de l'hôtel dessus. Entrez-y avec des sacs et tous vos effets personnels gratuitement.","Le grand nombre de touristes et d'invités dans l'hôtel est imaginaire, donc le niveau de propreté du mobilier n'est pas excellent, mais une nuit pour se reposer après une longue journée ne fait aucune différence. L'hôtel est loin de la gare et du parc Disney, à environ vingt minutes à pied. Ne faites pas la même erreur que moi et marchez jusqu'à l'hôtel avec vos bagages 🤣 Remarque : l'hôtel propose un service de navette vers et de l'hôtel, de la gare et de Disneyland, c'est-à-dire que si vous arrivez en train, vous irez aux arrêts de bus derrière la gare et vous rencontrerez des bus Chaque bus porte le nom de l'hôtel Montez dedans avec des sacs et tous vos effets personnels gratuitement. Le petit déjeuner est très médiocre, je ne le recommande pas",Août 2022,Commentaire envoyé le 12 août 2022,newportBay
Abdulla,2.0,Suède,,apparence seulement sinon ne vaut pas l'argent,"coûteux! pas bien nettoyé, personnel désagréable, pas d'eau à boire ni de machine à glaçons qui marche, petits lits",Août 2022,Commentaire envoyé le 8 août 2022,newportBay
Laurens,9.0,Pays-Bas,,"Près du parc et confortable, bon petit déjeuner.",marcher très loin,Août 2022,Commentaire envoyé le 6 août 2022,newportBay
גניפר,10.0,Israël,,Nettoyer un endroit simple est une expérience pour les enfants,,Août 2022,Commentaire envoyé le 1 août 2022,newportBay
Ali,10.0,Qatar,,La propreté des chambres et l'emplacement,Restaurants et mauvaise climatisation,Juillet 2022,Commentaire envoyé le 25 juillet 2022,newportBay
Rene,5.0,Pays-Bas,,,"Les chambres vous sont proposées car une grande chambre Jet est petite. Daté et vue sans valeur pour cet argent, je pense que c'est trompeur",Juillet 2022,Commentaire envoyé le 25 juillet 2022,newportBay
Tobias,4.0,Allemagne,,Emplacement sinon malheureusement pas grand chose,"Les contrôles de sécurité, qui ne sont pas effectués de manière raisonnable, sont extrêmement ennuyeux. Le service de chambre, le minibar et les autres équipements que vous attendez d'un hôtel 4 étoiles étaient tous inexistants. Pas de service avec les bagages mais aussi deux passages à l'écluse !",Juillet 2022,Commentaire envoyé le 24 juillet 2022,newportBay
Manuela,3.0,Brésil,,La climatisation fonctionnait bien.,"La nourriture est nulle. Le restaurant est fermé toute la journée. Même lorsque vous ouvrez le menu à la carte, il y a très peu d'options et la nourriture n'a aucun goût.",Juillet 2022,Commentaire envoyé le 24 juillet 2022,newportBay
Sem,4.0,Pays-Bas,,lieu.,vieil hôtel. mauvaise hygiène. des gens peu aimables.,Juillet 2022,Commentaire envoyé le 20 juillet 2022,newportBay
Khalid,5.0,Qatar,,"Proche de la cité des jeux, des marchés et d'un magnifique lac",Personnel de nettoyage entrant sans autorisation,Juillet 2022,Commentaire envoyé le 18 juillet 2022,newportBay
Beatriz,4.0,Brésil,,,L'hôtel est vieux et a besoin de rénovation. la chambre et les lits très petits.,Juillet 2022,Commentaire envoyé le 6 juillet 2022,newportBay
Vitalii,10.0,Ukraine,,"Proximité des attraits, parc et vue sur le lac - incomparable.",Le prix pendant les vacances des enfants est très élevé (,Juin 2022,Commentaire envoyé le 30 juin 2022,newportBay
אלי,3.0,Israël,,,"Il n'y a pas de réfrigérateur, il n'y a pas de téléphone pour le room service, les chambres sont vétustes, les lits sont petits pour un couple",Juin 2022,Commentaire envoyé le 29 juin 2022,newportBay
Yasin,1.0,Turquie,,dommage,"ils n'aident pas, la salle de bain est sale, les toilettes sont sales, ils se comportent mal, ils n'ont pas envoyé les articles restants et n'ont pas donné d'informations, ils se sont très mal comportés à l'entrée, la réception était très indifférente,",Mai 2022,Commentaire envoyé le 21 juin 2022,newportBay
Isabel,10.0,Italie,,"Hôtel propre et magnifique, personnel très gentil",,Mars 2022,Commentaire envoyé le 20 juin 2022,newportBay
Mubarak,4.0,Koweït,,Proche de Disneyland uniquement,"La salle de bain est très usée, la chambre est normale, les articles de toilette sont clairs, et c'est usé de ma chambre à la réception, à un kilomètre des trucs, et le climatiseur est installé tel quel, 24 degrés, la chaleur de l'hôtel est bondé et une bonne odeur. Il y a de meilleurs hôtels, plus propres et moins chers que celui-ci",Juin 2022,Commentaire envoyé le 18 juin 2022,newportBay
Luisa,5.0,Portugal,,de l'emplacement,Vieilles chambres à rénover. Extrêmement cher pour les commodités qu'ils offrent. C'est un hôtel de tourisme de masse.,Juin 2022,Commentaire envoyé le 16 juin 2022,newportBay
Hy,1.0,France,,,"J'ai appelé plusieurs fois parce que je voulais confirmer après avoir fait une réservation, mais je n'ai pas pu me connecter du tout. On m'a donné une chambre avec un lit queen même si j'avais réservé pour 2 lits doubles. Il y avait une bouteille d'eau vide dans la chambre, presque pas de commodités, la distance entre la réception et la chambre était trop loin et j'ai dû attendre une heure pour que mes bagages soient portés à la caisse.",Juin 2022,Commentaire envoyé le 14 juin 2022,newportBay
Cristian,9.0,Chili,,Bel environnement naturel à courte distance des parcs. Il se parcourt à pied,Les chambres pourraient être plus spacieuses,Mai 2022,Commentaire envoyé le 1 juin 2022,newportBay
Sabina,2.0,Allemagne,,L'emplacement pour se rendre à Disney Land et profiter de l'heure supplémentaire est bon,"Le personnel est extrêmement impoli bien que 2 chambres aient été faites sur une réservation sous le même nom de famille, les chambres ont été traitées comme 2 réservations, de sorte que les chambres étaient à des étages différents et j'étais dans différentes ailes de la maison. La réception était longue, antipathique, sans service, et le choix de plats au petit-déjeuner pour 28 € par personne après une attente d'environ 30 minutes est très médiocre. Les chambres n'ont aucun flair ou style. Les couloirs deviennent un calvaire pour les familles avec enfants tant qu'ils sont",Mai 2022,Commentaire envoyé le 30 mai 2022,newportBay
Eeksi,3.0,Turquie,,Le seul avantage était qu'il était à distance de marche des parcs de Disneyland.,"Pour le prix, l'hôtel n'a jamais répondu à nos attentes. La chambre pour 4 personnes était minuscule. L'hôtel est très vieux, le nettoyage est mauvais.",Mai 2022,Commentaire envoyé le 13 mai 2022,newportBay
Felix,5.0,Allemagne,,Emplacement à Disneyland,chambres et prestations,Mai 2022,Commentaire envoyé le 13 mai 2022,newportBay
Kim,4.0,Allemagne,,"L'emplacement est génial, le chemin de Disneyland - magnifique - le long d'un lac.","Les chambres sont totalement délabrées, les salles de bain en partie sales. Taches de sang sur les draps. Les portes du balcon ne pouvaient pas être verrouillées à 100 %. Lits très inconfortables, on sentait chaque printemps. Les prix des restaurants de l'hôtel sont complètement hors de prix.",Mai 2022,Commentaire envoyé le 10 mai 2022,newportBay
Adem,5.0,Turquie,,l'emplacement était bon,les employés sont si impolis et indifférents,Mai 2022,Commentaire envoyé le 6 mai 2022,newportBay
Miguel,10.0,Portugal,,Emplacement,Le prix du petit-déjeuner devrait déjà être inclus dans le prix de la chambre compte tenu du prix,Mai 2022,Commentaire envoyé le 1 mai 2022,newportBay
Tomislav,5.0,Croatie,,,,Avril 2022,Commentaire envoyé le 29 avril 2022,newportBay
Eleni,2.0,Grèce,,,Mauvais service du personnel. Chambres anciennes. Pas bon nettoyage. Personnel désagréable.,Avril 2022,Commentaire envoyé le 26 avril 2022,newportBay
Roberta,3.0,Italie,,un petit peu,ancien très cher par rapport à ce qu'il propose,Avril 2022,Commentaire envoyé le 25 avril 2022,newportBay
Lulu,9.0,Chine,,Servir,facilité,Avril 2022,Commentaire envoyé le 23 avril 2022,newportBay
אביה,9.0,Israël,,Proche de Disney,Ne pas inclure car les billets Disney devraient être une option,Avril 2022,Commentaire envoyé le 18 avril 2022,newportBay
Annette,5.0,Allemagne,,Personnel super sympa. Chambres très propres,"Rapport qualité prix juste misérable. 600€ la nuit sans petit déjeuner ! La chambre supérieure était très petite. Réservé au bord du lac, malheureusement c'était sans vue sur le lac mais plus vue sur la piscine. Nous voyagions avec deux enfants plus âgés, car avec 4 adultes, cela aurait été limite. Il n'y a pas de vrai placard. 28€ le petit déjeuner par personne ! Arrêtez les prix Disney 😉",Avril 2022,Commentaire envoyé le 17 avril 2022,newportBay
Dorien,10.0,Belgique,,"Belles chambres lumineuses avec un joli thème. Comme toujours très hygiénique et propre, rien à redire. Bien dormi dans les lits. L'ensemble de l'hôtel est magnifique ! L'un des meilleurs hôtels Disney.","* Comme dans tous les hôtels Disney, la piscine pourrait être un peu plus grande ici. C'est tout simplement trop petit et même désagréable par mauvais temps. Les gens ont même commencé à se changer dans les couloirs parce qu'il y avait tellement de monde et qu'il n'y avait pas assez de vestiaires disponibles pour le nombre de personnes. * Minibar / réfrigérateur aurait été bien dans la chambre pour garder notre eau fraîche. Les chambres Compass Club en sont équipées.",Avril 2022,Commentaire envoyé le 8 avril 2022,newportBay
Amira,5.0,Égypte,,Endroit,Le personnel n'est pas serviable,Avril 2022,Commentaire envoyé le 8 avril 2022,newportBay
Edith,9.0,Pays-Bas,,ambiance,,Mars 2022,Commentaire envoyé le 2 avril 2022,newportBay
Luiz,10.0,Brésil,,"grande chambre, très bon emplacement (vous pouvez vous promener dans les parcs), en plus de la commodité des parcs ouvrant plus tôt pour les clients, personnel très attentionné.","il n'y a pas de nourriture de service en chambre, pour pouvoir commander quelque chose, j'ai dû mendier au restaurant et ils m'ont facturé des frais absurdes pour la livraison dans la chambre.",Mars 2022,Commentaire envoyé le 1 avril 2022,newportBay
Nijhuis,5.0,Pays-Bas,,La chambre était propre et soignée.,C'était le temps des vacances de printemps et cela le rend très occupé partout.,Mars 2022,Commentaire envoyé le 31 mars 2022,newportBay
Ahmed,10.0,Émirats arabes unis,,Tout est bon,"Le retard dans la livraison des chambres. J'ai réservé trois chambres. Une chambre m'a été livrée à trois heures et les deux chambres après cinq heures, mais nous étions une famille avec des enfants. Chaque chambre était dans un bâtiment différent, une chambre au premier étage et l'autre au cinquième étage, ce qui cause de grandes difficultés au chef de famille. En général, merci et j'espère noter cette affaire",Mars 2022,Commentaire envoyé le 30 mars 2022,newportBay
Nina,10.0,Allemagne,,Tout était merveilleux - proche de Disneyland - personnel sympathique - propre - beaucoup de touches Disney dans l'hôtel,,Mars 2022,Commentaire envoyé le 28 mars 2022,newportBay
Salem,10.0,Émirats arabes unis,,"Très proche du parc Disneyland, à quelques pas, juste en contournant le lac sur la photo, seulement jusqu'à ce que vous atteigniez",Et,Mars 2022,Commentaire envoyé le 27 mars 2022,newportBay
Bruno,10.0,Brésil,,"Tout!!! Mais ce qui a le plus retenu mon attention, c'est le dévouement des employés",Rien!!!,Mars 2022,Commentaire envoyé le 21 mars 2022,newportBay
Muna,10.0,Qatar,,"Chambre, restaurant (petit-déjeuner)",Il n'y avait aucune aide du personnel de l'hôtel quand nous sommes arrivés à l'hôtel,Mars 2022,Commentaire envoyé le 21 mars 2022,newportBay
Bruno,10.0,Brésil,,Tout!!! Surtout le service. Ils vous font sentir comme un roi...,Rien!!!,Mars 2022,Commentaire envoyé le 20 mars 2022,newportBay
Marina,9.0,Allemagne,,"L'emplacement était génial, près des parcs, nous avions une vue magnifique sur le front de mer et sur les parcs, avons réservé une chambre Compass Club, je le recommande vivement si vous pouvez vous le permettre, excellent service, personnel très agréable, bonne ambiance, volontiers de nouveau","La chambre était un peu froide, d'une certaine manière le chauffage avec la climatisation ne fonctionnait pas, sinon tout était super, là aussi, le personnel était super sympa",Mars 2022,Commentaire envoyé le 19 mars 2022,newportBay
Ronny,10.0,Belgique,,L'hôtel n'avait rien à critiquer .. au contraire 😉,"Le parc m'a époustouflé que beaucoup de choses étaient fermées… y compris mon préféré… alors qu'ils fêtent leurs 30 ans… à mon avis, dans une année aussi importante, le parc devrait fonctionner à 100%… certainement puisque vous savez que cette année est importante et qu'elle arrive Du coup j'avais moins le sentiment..certainement parce que je n'en étais pas conscient 😥",Mars 2022,Commentaire envoyé le 19 mars 2022,newportBay
Natalija,10.0,Espagne,,tous,le petit déjeuner il n'y a pas grand chose,Mars 2022,Commentaire envoyé le 17 mars 2022,newportBay
Cristina,5.0,Brésil,,Facilité d'accès au parc,"Pas de minibar dans la chambre, pas d'installations pour les clients comme un porte-bagages et des repas à la carte",Mars 2022,Commentaire envoyé le 16 mars 2022,newportBay
Thom,9.0,Pays-Bas,,"bel hôtel, proche de Disneyland Paris. Très bon accueil et personnel très sympathique",,Mars 2022,Commentaire envoyé le 14 mars 2022,newportBay
Elisa,10.0,Belgique,,Que du positif !,,Mars 2022,Commentaire envoyé le 11 mars 2022,newportBay
Luis,5.0,Espagne,,emplacement à côté de disney,"surpeuplement, vieilles installations prix excessif pour ce que c'est",Mars 2022,Commentaire envoyé le 10 mars 2022,newportBay
Ted,5.0,Pays-Bas,,l'emplacement était bien,prix / qualité du petit déjeuner et du dîner étaient tout sauf en proportion,Mars 2022,Commentaire envoyé le 9 mars 2022,newportBay
Deweer,4.0,Belgique,,"Très démodé, ayant besoin d'un rafraîchissement, petit déjeuner 120 euros pour 3 adultes et 2 enfants et se trouve dans une pièce sombre très triste et seulement un petit déjeuner médiocre. Le soir il faut faire une réservation au resto v h hôtel. Nous n'étions pas au courant de cela, avec pour résultat que nous devions mendier pour pouvoir manger, les toilettes publiques n'étaient pas très propres non plus","Qualité prix, trop démodé, besoin de rafraîchissement, une nuit à Disney n'est tout simplement plus abordable et puis on s'attend à ce que ce soit bien",Mars 2022,Commentaire envoyé le 4 mars 2022,newportBay
Meike,3.0,Pays-Bas,,Super petit déjeuner.,Enregistrement à l'arrivée et aussi réservation pour le restaurant difficile Chambre très éloignée.,Mars 2022,Commentaire envoyé le 3 mars 2022,newportBay
Steffi,10.0,Belgique,,Quel bel hôtel ! À distance de marche du parc! Personnel très sympathique et belles chambres ! Tout dans l'ordre tip-top!,Je n'ai vraiment rien que je n'ai pas aimé ici!,Mars 2022,Commentaire envoyé le 3 mars 2022,newportBay
Ming,4.0,Espagne,,"Très proche du parc, plus pratique","Les installations sont vétustes, le climatiseur central est en panne dans cette nuit à 0 degré, et l'interrupteur est éteint, soufflant du vent froid. Le personnel que j'ai trouvé a envoyé un radiateur électrique. Est-ce un hôtel quatre étoiles ? Plutôt drôle ! Le personnel de maintenance est venu et a juste allumé l'interrupteur et est parti. Il y avait du vent froid soufflant d'en haut et de l'air chaud d'en bas. Il était déjà une heure du matin et nous n'avons pu passer que la nuit, impuissants et déçus.",Mars 2022,Commentaire envoyé le 2 mars 2022,newportBay
Marc,3.0,Allemagne,,Tous très sympathiques. l'emplacement était bon,Complètement trop cher pour un hôtel délabré,Février 2022,Commentaire envoyé le 1 mars 2022,newportBay
Abdulaziz,9.0,Arabie saoudite,,"L'emplacement est excellent, la vue des chambres sur le lac est très belle, le petit déjeuner est complet, et le personnel de l'hôtel est très coopératif 👌🏾","Il n'y a pas de service de chambre. Il est conseillé de réserver tôt pour le restaurant du dîner, car il y aura beaucoup de monde la nuit.",Février 2022,Commentaire envoyé le 25 février 2022,newportBay
Madeleine,9.0,Allemagne,,"Très belles chambres, mais l'hôtel est très, très grand et on s'y perd vite.",,Janvier 2022,Commentaire envoyé le 22 février 2022,newportBay
Stephanie,4.0,Pays-Bas,,"L'emplacement est génial, le personnel super sympa, agréable de pouvoir rencontrer des personnages de Disney, la piscine était grande, le beau bâtiment.","Le prix est totalement hors de proportion pour ce que vous obtenez; chambre très petite et dans la salle de bain très simple seulement quelques bouteilles de shampoing (pas de gel douche, d'après-shampooing ou de lotion pour le corps), pas de miroir grossissant ou quoi que ce soit du luxe que l'on peut attendre d'un hôtel 4 étoiles. La pièce était bien trop chaude ; la température ne pouvait pas être réglée et la fenêtre pouvait à peine être ouverte. Ce n'était pas super propre non plus. Le petit déjeuner est outrageusement cher. Quoi qu'il en soit, c'est de Disney donc ils peuvent demander ce qu'ils veulent parce que les gens vont dormir et manger là-bas de toute façon.",Février 2022,Commentaire envoyé le 21 février 2022,newportBay
Jens,10.0,Belgique,,tous,rien,Février 2022,Commentaire envoyé le 19 février 2022,newportBay
Osman,3.0,Allemagne,,Sécurité au plus haut niveau,trop cher pour trop peu de service.,Février 2022,Commentaire envoyé le 11 février 2022,newportBay
Julia,9.0,Roumanie,,Emplacement très correct,,Février 2022,Commentaire envoyé le 11 février 2022,newportBay
Inês,10.0,Royaume-Uni,,"Le personnel était super serviable quand j'ai expliqué que j'allais voir des membres de la famille séjournant également à l'hôtel, ils m'ont rapidement proposé de me mettre dans la chambre la plus proche possible. Très sympathique et prêt à aider avec tout. Chambre propre et spacieuse. Très bel hôtel à l'intérieur et excellente nourriture.",,Février 2022,Commentaire envoyé le 9 février 2022,newportBay
Cahevil,5.0,Espagne,,Proximité et accès au parc,"L'emplacement de la chambre. Pour y arriver il fallait passer par 3 couloirs de 100 mètres. Un hôtel excessivement grand. Les services hôteliers, bars, restaurants ne sont pas bons non plus. Tout est axé sur la consommation dans le parc. C'est une entreprise ronde.",Janvier 2022,Commentaire envoyé le 31 janvier 2022,newportBay
Jose,9.0,Espagne,,"Nous avons été accueillis par une fille valencienne qui nous a très bien traités, comme tout le personnel. Chambre confortable et parfaite pour se reposer.",,Janvier 2022,Commentaire envoyé le 29 janvier 2022,newportBay
Angelica,10.0,Colombie,,l'endroit est parfait pour visiter les parcs,Tout est parfait,Janvier 2022,Commentaire envoyé le 20 janvier 2022,newportBay
Nuria,10.0,Espagne,,J'ai trouvé le buffet et les prix des restaurants un peu chers,La carte des plats du restaurant,Janvier 2022,Commentaire envoyé le 17 janvier 2022,newportBay
Carlos,10.0,Espagne,,La décoration et c'est très spacieux,C'est un peu cher,Janvier 2022,Commentaire envoyé le 14 janvier 2022,newportBay
Lynn,9.0,Pays-Bas,,"chambre soignée et bien rangée avec balcon, cafetière et théière et bouteilles d'eau quotidiennes.",la douche dans le bain donnait peu d'eau et variait beaucoup de température.,Janvier 2022,Commentaire envoyé le 9 janvier 2022,newportBay
Andreas,2.0,Allemagne,,foyer et emplacement,"La qualité du petit déjeuner était misérable pour le prix, juste extrêmement cher et une arnaque totale, les feux d'artifice du Nouvel An ont été tout simplement annulés et vous n'avez pas réussi à en informer vos propres clients de l'hôtel. Dans l'ensemble, nous sommes très déçus, tout comme de nombreux autres clients. Dépensé plus de 1000 euros pour 2 nuits dans un hôtel médiocre avec de la mauvaise nourriture. Un drain dans la salle de bain était bouché et nous avions de la moisissure noire dans les joints. Les murs sont très fins et les voisins vous réveillent plusieurs fois par nuit. Un très bon séjour... Le directeur de l'hôtel devrait avoir honte.",Janvier 2022,Commentaire envoyé le 5 janvier 2022,newportBay
Zhihong,1.0,Allemagne,,"En raison de l'épidémie en France, nous avons demandé à la fois à l'hôtel et à la réservation de modifier l'heure du séjour un jour à l'avance, puis l'hôtel et la réservation se sont disputés de différentes manières jusqu'à ce que notre heure d'enregistrement et de départ soit passée et ils ont dit que nous ne pouvions pas changer l'heure. Je savais que c'était mauvais, mais je ne savais pas qu'il y avait un si mauvais acte! Il est maintenant temps d'enseigner !",,Janvier 2022,Commentaire envoyé le 4 janvier 2022,newportBay
Demetrio,5.0,Italie,,la position,Hôtel américain de grande confusion et chaos. prix - même si à disneyland - hors de toute logique,Janvier 2022,Commentaire envoyé le 2 janvier 2022,newportBay
Γεωργιοσ,4.0,Grèce,,l'emplacement est incroyable. très proche du parc. très belle vue.,"la chambre n'était pas celle que nous avions réservée. nous avions payé pour une vue sur le lac et la chambre donnait sur un parking !. les équipements de la chambre étaient inexistants. pas de mini bar, pas même de bouilloire pour boire un café. au restaurant, la cuisine sentait très fort, de sorte que nos vêtements sentaient mauvais !",Décembre 2021,Commentaire envoyé le 30 décembre 2021,newportBay
Charalampos,3.0,Grèce,,emplacement,Il n'y avait pas de réfrigérateur,Décembre 2021,Commentaire envoyé le 28 décembre 2021,newportBay
Pietro,5.0,Italie,,style,personne ou très peu parle italien communication très difficile dans les restaurants et avec le personnel,Décembre 2021,Commentaire envoyé le 26 décembre 2021,newportBay
