Prenom,Note,Pays,Titre,Positif,Négatif,Date séjour,Date commentaire,hotel
Rinat,5.0,62,Inconnu,Personnel sympa,Pire douche et processus de réception inefficace,17,Commentaire envoyé le 11 décembre 2022,3
Javier,6.0,4,Inconnu,la situation et l'environnement. Très beau.,C'est très vieux et c'est très cher pour son âge,17,Commentaire envoyé le 11 décembre 2022,3
Ainarasaizar,5.0,4,Inconnu,L'emplacement de l'hôtel. Le service de bus pour le parc.,Petit déjeuner très peu varié. Les installations sont assez vétustes. Les anciennes chambres.,17,Commentaire envoyé le 4 décembre 2022,3
Nele,10.0,79,Inconnu,la chambre l'hôtel le personnel le petit déjeuner le parking,Inconnu,6,Commentaire envoyé le 27 novembre 2022,3
Nathalie,4.0,107,Inconnu,"Très proche des parcs, très facile à trouver et c'est un soulagement de pouvoir rentrer rapidement à l'hôtel après une journée dans le parc. Les parties communes de l'hôtel sont très agréables et semblaient bien entretenues. Le monsieur qui nous a aidé à la réception le matin était très poli et gentil, nous avons vraiment apprécié son service. Le concierge la veille de notre départ était également très sympathique. Le service de navette magique était assez pratique pour nous emmener à l'aéroport.","L'un des concierges qui nous a aidés à notre arrivée était impatient et grincheux. Notre chambre était dans l'aile sud de l'hôtel et, franchement, au moment où nous sommes entrés dans cette partie de l'hôtel, nous nous sommes sentis transportés dans les années 90, mais pas dans un sens nostalgique. La moquette est très vieille et usée, on se sent sale. Les couloirs ressemblent à un hôtel hanté. La chambre est très vétuste, il n'y a qu'une seule prise disponible et elle n'est pas proche du lit, elle n'a pas de mini-réfrigérateur, les interrupteurs sont très vieux, moches et jaunâtres, la salle de bain est froide, les toilettes sont vieilles et jaunâtre, le sèche-cheveux est vieux et faible, les carreaux ont l'air vieux, les armoires de la chambre sont toutes usées, la climatisation est vieille, jaunâtre, faible et bruyante, quand la lumière est allumée, elle clignote comme un film d'horreur et, pire que tout, il y a de grosses toiles d'araignées et visibles dans les coins de la pièce. Même à l'intérieur du Magical Shuttle Bus, il y avait des toiles d'araignées. L'une des pires expériences et conforts que j'ai eu dans une chambre d'hôtel, je ne reviendrai pas.",6,Commentaire envoyé le 12 novembre 2022,3
Andre,5.0,30,Inconnu,Inconnu,"Légère odeur de moisi qui ne disparaissait qu'avec la fenêtre ouverte tout le temps. vous pouvez dire que le lodge vieillit. Le pire hôtel Disney pour moi en ce moment, et nous les avons tous visités plusieurs fois.",6,Commentaire envoyé le 8 novembre 2022,3
Veronica,10.0,90,Inconnu,"L'hôtel est pratique pour son emplacement, ses chambres propres et spacieuses. Le mobilier et la salle de bain sont à revoir qui, avec la baignoire et le rideau, est vraiment vétuste. Pour le reste tout va bien, personnel très gentil et toujours prêt à répondre à toutes les demandes","La salle de bain avec baignoire et rideau. De plus, le tapis devrait vraiment être éliminé partout",5,Commentaire envoyé le 15 octobre 2022,3
Veronica,10.0,90,Inconnu,"L'hôtel est vraiment magnifique, le cadre est soigné dans les moindres détails, nous avons adoré. La chambre est un peu vieillotte au niveau de l'ameublement, la salle de bain est à revoir mais reste assez grande et équipée. Les lits sont confortables et les oreillers moelleux. Une seule prise fonctionne à 100% car les deux autres ne fonctionnent que si vous gardez les lumières allumées, ce n'est pas un gros problème pour nous car nous avons apporté une rallonge avec une multiprise. Le personnel est splendide, super gentil, Elettra à la réception pour 10+. Nous serons de retour dès que possible.",Inconnu,5,Commentaire envoyé le 11 octobre 2022,3
Sangchan,6.0,48,Inconnu,emplacement proche,Chaussons... le prix est trop méchant,5,Commentaire envoyé le 8 octobre 2022,3
Claudia,3.0,30,Inconnu,Inconnu,"Ventilateur bruyant dans la chambre, ne peut pas être éteint, les lits grincent fort à chaque tour, les fenêtres ne peuvent pas être ouvertes, vue sur la cour arrière avec des ordures, le rapport qualité-prix n'est pas du tout bon !!! ,",5,Commentaire envoyé le 3 octobre 2022,3
Pilar,10.0,4,Inconnu,L'exclusivité de la Forêt d'Or,Qu'ils ne m'ont pas donné 1 animal en peluche dans la chambre,5,Commentaire envoyé le 1 octobre 2022,3
Satoshi,5.0,79,Inconnu,Le buffet du dîner était mignon et délicieux avec beaucoup de desserts Mickey et du 30 e anniversaire. Le personnel était tout souriant et agréable.,"Nous vous recommandons de choisir une chambre à proximité de l'établissement. C'était une chambre de lodge assez éloignée, j'étais donc très fatiguée après avoir fermé la route sombre en traînant ma valise. C'était le pire que la carte-clé ne puisse pas être utilisée en chemin et j'ai dû retourner à la réception très loin.",5,Commentaire envoyé le 1 octobre 2022,3
Charlotte,6.0,79,Inconnu,emplacement l'ambiance,"pas propre petit luxe en cas d'affluence, le personnel est antipathique",20,Commentaire envoyé le 19 septembre 2022,3
Elena,1.0,4,Inconnu,Nous avons été déçus.,"C'était en construction, ça sentait l'humidité, nous étions avec une poussette et ils nous ont donné une chambre au premier étage sans ascenseur. Les fenêtres ne pouvaient pas être ouvertes, et vous ne pouviez pas voir à travers elles.",20,Commentaire envoyé le 15 septembre 2022,3
Ahmed,6.0,44,Inconnu,Tout,Rien,20,Commentaire envoyé le 13 septembre 2022,3
Maria,10.0,4,Inconnu,La gentillesse du personnel,Rien,20,Commentaire envoyé le 11 septembre 2022,3
Bruna,4.0,107,Inconnu,La proximité des parcs est quelque chose à souligner. Le thème Bambi rend l'environnement très mignon. Lits très confortables et spacieux. Vous pouvez entrer 1h plus tôt UNIQUEMENT dans le parc du château (parc Disneyland),"Notre chambre était SALE - verres sales, ordures dans la salle de bain, comptoir clairement pas propre. La douche prend beaucoup de temps à chauffer, une seule prise fonctionne dans la chambre, il n'y a pas de réfrigérateur dans la chambre ni de cafetière / théière. Ascenseurs très lents. Petit déjeuner cher et EXTRÊMEMENT lourd. Nous n'aimons pas ça.",20,Commentaire envoyé le 10 septembre 2022,3
S,5.0,41,Inconnu,"Lits d'enfants juste à côté de votre propre lit, alors rayez tout, même pas un petit frigo dans la chambre.TV si petite.","Personne ne parle bien anglais, ils étaient sympathiques juste dommage pour la langue",2,Commentaire envoyé le 10 septembre 2022,3
Andreia,5.0,46,Inconnu,"emplacement, à environ 7 minutes à pied du parc, petit déjeuner varié et très bon, la piscine avec le toboggan et le jacuzzi était très bien.","les chambres n'étaient pas très propres, les baignoires avaient de la rouille, le sol de la salle de bain avait des cheveux et beaucoup de saleté accumulée dans les coins. l'hôtel a besoin d'une rénovation dans les chambres, en particulier les salles de bains. certaines tasses de petit-déjeuner étaient sales.",20,Commentaire envoyé le 10 septembre 2022,3
Nasser,5.0,44,Inconnu,L'endroit est au milieu de Disneyland,"Le manque de thé, de café, d'eau et de mouchoirs en quantité suffisante, en plus du manque de tabliers au lit",2,Commentaire envoyé le 22 août 2022,3
Manuel,4.0,90,Inconnu,Bon petit-déjeûner,Il manquait de propreté et autour de la chambre il y avait des travaux de rénovation,2,Commentaire envoyé le 14 août 2022,3
Mazgula,6.0,61,Inconnu,Coûteux,Des prix,2,Commentaire envoyé le 1 août 2022,3
Toni,6.0,41,Inconnu,La piscine,"La rénovation de l'immeuble, immeuble situé après, sans ascenseur, en association avec une femme enceinte et cela pour plus de 400 €, -",12,Commentaire envoyé le 1 août 2022,3
Francisco,1.0,20,Inconnu,l'emplacement est la seule bonne chose,"Le service était nul, cher, j'ai dû porter les valises aussi bien à l'arrivée qu'au départ, l'odeur dans les chambres était insupportable, un mélange d'humidité avec la nourriture et les salles de bain, horrible, la fenêtre fermée avec du plastique à cause des travaux à l'extérieur de l'hôtel, rien que pour ce détail, cela devrait coûter 1/4 du prix, séjour horrible. JE NE RECOMMANDE PAS cet hôtel !!!",12,Commentaire envoyé le 13 juillet 2022,3
Pilar,1.0,4,Inconnu,La proximité du parc,"Le rapport qualité-prix le pire hôtel où j'ai séjourné de ma vie, j'ai beaucoup voyagé en Europe et en Amérique. L'hôtel à Paris est magnifique, mais c'est une arnaque pour le rapport qualité prix je ne le recommanderai jamais",9,Commentaire envoyé le 2 juillet 2022,3
Juan,10.0,4,Inconnu,L'emplacement Les installations,Le prix de la nuit est cher pour ce qu'il offre plus que d'autres hôtels en dehors de Disney,9,Commentaire envoyé le 30 juin 2022,3
Brigida,10.0,90,Inconnu,la position,le petit déjeuner n'était qu'un buffet... il n'y avait pas possibilité de boire un simple café avec de la brioche,9,Commentaire envoyé le 8 juin 2022,3
Sonntag,6.0,30,Inconnu,C'était propre et le ménage était très efficace,"Malheureusement, trois prises n'étaient pas suffisantes pour trois adultes. Et ceux-ci étaient difficiles à atteindre (sous la table/à la porte d'entrée) La pomme de douche était cassée et la lumière scintillait",9,Commentaire envoyé le 8 juin 2022,3
Susanne,4.0,41,Inconnu,"En tant que visiteurs fréquents de Disney, nous avons décidé de choisir Sequoia Lodge pour un voyage de dernière minute cette fois en raison de sa distance de marche du parc et de la piscine.","Nous avons payé 490 € pour cette chambre et à notre arrivée, nous avons été placés dans l'un des lodges en cours de rénovation. Les fenêtres étaient enregistrées et ne s'ouvraient pas. À notre grande surprise, la piscine était également en cours de rénovation et n'était pas ouverte. Les deux n'étaient pas mentionnés dans les informations de réservation et je n'aurais certainement pas choisi SL dans ce cas.",9,Commentaire envoyé le 6 juin 2022,3
Ayelet,10.0,62,Inconnu,"Le personnel nous a accueillis gentiment, nous a aidés avec toutes les informations dont nous avions besoin, a été efficace et encore plus",Inconnu,9,Commentaire envoyé le 5 juin 2022,3
Ali,1.0,77,Inconnu,employés. et événements,Les chambres sont très petites et les installations sont vieilles et usées,25,Commentaire envoyé le 5 juin 2022,3
Daniele,5.0,90,Inconnu,L'emplacement et la nourriture,"mauvais nettoyage, chambres datées",9,Commentaire envoyé le 5 juin 2022,3
Claudia,10.0,12,Inconnu,Tout était superlatif !,Inconnu,4,Commentaire envoyé le 31 mai 2022,3
Santi,6.0,4,Inconnu,Ne pas prendre de petit-déjeuner,Très simple,4,Commentaire envoyé le 18 mai 2022,3
Florian,3.0,30,Inconnu,"Bel espace extérieur, comme dans le parc national.","La réceptionniste a ignoré 1 à 2 minutes, une discussion interne avec un autre employé était plus importante. odeur de moisi dans le couloir. Chambres bruyantes, les voisins pouvaient tout entendre à cause d'une porte intermédiaire - une paire de bouchons d'oreille est recommandée. Cuvette des toilettes bancale. Pièces usées.",4,Commentaire envoyé le 17 mai 2022,3
Raquel,10.0,4,Inconnu,"Le personnel est adorable, le cadre est exceptionnel. Et proche de tout. Nous avons adoré, nous reviendrons sûrement",Inconnu,4,Commentaire envoyé le 13 mai 2022,3
אחינועם,10.0,62,Inconnu,"L'emplacement est excellent, la vue des chambres sur la forêt et le lac est très impressionnante. Un hôtel calme entouré de forêt et d'eau. Le personnel est agréable et disponible. Les chambres sont spacieuses et propres. Je vous recommande de prendre une chambre au Golden Forest et vous bénéficierez d'un service rapide et d'un petit-déjeuner dans une petite et agréable salle à manger pleine de bonnes choses qui est également ouverte, sans supplément, pour des boissons légères et des collations. Le design est un peu vieillot mais agréable et donne l'impression d'un lodge au milieu de la jungle. Le matin, vous pourrez rencontrer des personnages Disney devant la boutique de l'hôtel, il est recommandé d'arriver tôt le matin et de prendre place dans la file d'attente. Ceux qui ne veulent pas être photographiés peuvent aussi regarder de côté. Il y a une zone à l'extérieur avec une large herbe pour gambader et une très courte promenade jusqu'au lac. Autour de l'hôtel, il y a des sentiers pour se promener dans la forêt, dans une nature calme pleine d'oiseaux qui gazouillent, super. Je le recommande vivement aux familles en général. Je reviendrai avec plaisir.","Les ascenseurs sont très lents, nous avons attendu longtemps l'ascenseur. Il n'y a pas de prises dans la chambre pour recharger les téléphones.",4,Commentaire envoyé le 11 mai 2022,3
Lindsay,10.0,79,Inconnu,emplacement paisible et paisible + proche de disneyland. idéal pour une dernière promenade. A un air ardennais,Inconnu,21,Commentaire envoyé le 20 avril 2022,3
Lisa,10.0,79,Inconnu,Emplacement très calme. La distance de marche du parc était idéale. Agréable et propre. Un grand parking.,Seul bémol : pas de prise à côté du lit.,25,Commentaire envoyé le 16 avril 2022,3
Manuel,1.0,4,Inconnu,le seul point positif c'est qu'il est proche de Disneyland Paris,"C'est très vieux, les toilettes ont des taches, il y avait des poils pubiens dans la baignoire, les matelas sont très inconfortables et la chambre sent pas bon",25,Commentaire envoyé le 1 avril 2022,3
Jean,4.0,79,Inconnu,"la réception au comptoir d'enregistrement était correcte, mais ma demande d'avoir 2 chambres côte à côte n'était certainement pas acceptable, nous avons eu des chambres dans différentes ailes de l'hôtel. après avoir insisté, nous avons quand même eu 2 autres chambres, mais elles n'étaient pas du tout en ordre, des gens y travaillaient, nous étions entre les postes qui étaient à l'extérieur. Regarder par la fenêtre n'était pas du tout possible car ils étaient couverts.","ma demande d'avoir 2 chambres côte à côte n'était certainement pas en ordre, nous avons eu des chambres dans différentes ailes de l'hôtel. après avoir insisté, nous avons quand même eu 2 autres chambres, mais elles n'étaient pas du tout en ordre, des gens y travaillaient, nous étions entre les postes qui étaient à l'extérieur. Regarder par la fenêtre n'était pas du tout possible car ils étaient couverts. J'espère que lorsque nous reviendrons en août, nous aurons quelque chose de mieux.",21,Commentaire envoyé le 31 mars 2022,3
M,10.0,4,Inconnu,tous,Rien,21,Commentaire envoyé le 28 mars 2022,3
Famliywang,10.0,30,Inconnu,"L'emplacement est génial, vous pouvez marcher jusqu'au parc en 15 minutes",Inconnu,21,Commentaire envoyé le 27 mars 2022,3
Alejandro,10.0,4,Inconnu,"Emplacement à 4 minutes à pied du parc, il faut moins marcher que de prendre le bus",Inconnu,21,Commentaire envoyé le 26 mars 2022,3
Fahad,10.0,44,Inconnu,L'emplacement et le style de l'hôtel,Inconnu,21,Commentaire envoyé le 24 mars 2022,3
Lisa,5.0,79,Inconnu,Le bâtiment principal et les environs sont très confortables. Personnel très sympathique. Le petit déjeuner (avec supplément) était également très bon.,Seulement 3 prises dont 1 ne fonctionnait que lorsque vous allumiez la lumière. Les prises électriques n'étaient pas non plus à proximité des lits. Le bouton de la chasse d'eau des toilettes était vraiment sale. La piscine est fermée et aucune alternative n'est proposée.,21,Commentaire envoyé le 24 mars 2022,3
Stephan,3.0,41,Inconnu,L'ambiance respire un peu Disney.,"Le lit était trop court 2 mètres ? La qualité des prix est très déséquilibrée. Pas d'installation électrique à côté du lit pour recharger votre téléphone. Ouvert les rideaux, tout était plâtré.. si vous ouvrez une fenêtre, vous verrez une contremarche.",21,Commentaire envoyé le 22 mars 2022,3
Anita,10.0,90,Inconnu,Tout,Inconnu,21,Commentaire envoyé le 20 mars 2022,3
Hanna,6.0,30,Inconnu,Emplacement bon petit déjeuner personnel très sympathique,Les chambres ne sont pas propres.,15,Commentaire envoyé le 20 mars 2022,3
Angela,6.0,79,Inconnu,Chambres très démodées et odeur de moisi,Lits durs,21,Commentaire envoyé le 19 mars 2022,3
Rochas,10.0,79,Inconnu,Très belle chambre et super bons lits. Nous avons énormément apprécié notre séjour.,La prise du lampadaire ne fonctionnait pas pour le chargeur de téléphone portable. Il fallait parfois beaucoup de temps avant d'avoir de l'eau chaude.,21,Commentaire envoyé le 19 mars 2022,3
Jelke,5.0,79,Inconnu,"Ils sont très attentifs aux personnes en fauteuil roulant. Idéalement, une navette s'arrête devant la porte, mais le parc est certainement accessible à pied.","Communication entre le personnel afin que chacun soit au courant de ce qui est possible dans l'hôtel. Ex : J'ai demandé si je pouvais acheter des billets pour le parc sur place, pas de réponse. Une fois là-bas, je suis envoyé de la réception au concierge et il vient de me renvoyer. Une fois loin du concierge, quelqu'un d'autre vient me demander s'il peut m'aider et oui, les billets peuvent toujours être achetés sur place. A NE PAS MANQUER !!! 25% de réduction pour les personnes handicapées et le préposé est une bonne blague. Perdu 380 euros pour 2 jours de parc, 2 personnes. Alors que les billets étaient beaucoup moins chers en ligne, mais en tant que personne handicapée, vous ne pouvez pas commander de billets en ligne. . . Alors vous vous tenez là avec une chambre réservée et pas de billets. Est-ce qu'ils me facturent une autre carte prioritaire, alors qu'une personne handicapée y a droit GRATUITEMENT. Et oui, j'avais tous les documents nécessaires avec moi... Une blague trop chère... Et personne qui pourrait m'aider sur place. Désolé, cela ne pouvait pas être un anniversaire détendu pour mon petit ami...",21,Commentaire envoyé le 18 mars 2022,3
Elisa,4.0,90,Inconnu,Emplacement assez proche du parc,"Personnel peu accueillant, ils ne parlaient pas italien et ils n'ont appelé personne qui le parlait pour nous faire comprendre. Ils nous ont laissé nous enregistrer mais ont dû revenir car la chambre n'était pas prête. Les clés des chambres n'étaient pas actives et nous devions faire des allers-retours ce qui était fatigant car ce sont des lodges assez éloignés les uns des autres. La première fille de la réception était impolie, la seconde était serviable. J'ai réservé en réservant et une fois arrivé, il n'y avait aucun signe de ma réservation. Je le déconseille car ils ne sont pas organisés et ne s'occupent pas des clients.",21,Commentaire envoyé le 17 mars 2022,3
Noelia,10.0,4,Inconnu,"Les installations, la salle à manger et le traitement",Que peu de membres du personnel parlent ou se font comprendre en espagnol. Peu de raccordements au réseau électrique !,21,Commentaire envoyé le 10 mars 2022,3
Abdulrahman,6.0,82,Inconnu,"Endroit calme, propre, proche de Disneyland, proche du marché outlet, à 10 minutes en voiture",Il n'y a pas de réfrigérateur Les prises électriques sont petites La chambre nécessite 4 minutes de marche pour arriver depuis la réception Le petit-déjeuner doit être payé tous les jours.,21,Commentaire envoyé le 10 mars 2022,3
Viola,4.0,90,Inconnu,Positionner,Ménage inexistant (j'ai trouvé des masques usagés dans la chambre) Coûts trop élevés Ancienne structure,21,Commentaire envoyé le 8 mars 2022,3
Gascon,10.0,4,Inconnu,super petit déjeuner,Inconnu,22,Commentaire envoyé le 4 mars 2022,3
Deschacht,10.0,79,Inconnu,Le petit déjeuner dans le Forrest Lounge était fantastique !,Inconnu,22,Commentaire envoyé le 4 mars 2022,3
Erwin,10.0,79,Inconnu,La propreté et le confort des lits,en fait rien,21,Commentaire envoyé le 3 mars 2022,3
Kim,10.0,41,Inconnu,"Le personnel, les chambres, les lits et le dîner sont tout à fait géniaux !",Que Booking.com n'avait pas communiqué que les chambres avaient déjà été payées. Il a fallu beaucoup de temps pour s'enregistrer à cause de cela,22,Commentaire envoyé le 20 février 2022,3
Jens,10.0,79,Inconnu,l'emplacement est très proche des parcs et le personnel est au top,le thème des chambres est médiocre / doit être amélioré par rapport à d'autres hôtels,22,Commentaire envoyé le 16 février 2022,3
Sara,10.0,79,Inconnu,la gentillesse du personnel et la propreté des chambres,pas exactement n'importe quoi !,22,Commentaire envoyé le 15 février 2022,3
Haruka,10.0,27,Inconnu,Je suis content que le personnel qui parle japonais ait fait de son mieux pour répondre.,Enrichissement de l'animosité,22,Commentaire envoyé le 8 février 2022,3
Manuel,10.0,4,Inconnu,L'ambiance et les lits super confortables. L'attention du personnel,Inconnu,22,Commentaire envoyé le 7 février 2022,3
Jessie,6.0,79,Inconnu,- proche parc - chambre spacieuse. - salle de bain propre,prix Des échantillons gratuits de shampoing ont déjà été utilisés par les clients précédents,7,Commentaire envoyé le 4 février 2022,3
Gema,6.0,4,Inconnu,Bien situé,il n'y avait pas d'eau chaude,7,Commentaire envoyé le 2 février 2022,3
Marieke,6.0,41,Inconnu,Le lit!,"En trouvant l'entrée de l'hôtel, nous avons fait le tour de l'hôtel pour trouver l'entrée.",7,Commentaire envoyé le 30 janvier 2022,3
Fernanda,6.0,107,Inconnu,Hôtel très bien situé. Chambre spacieuse.,"Serviettes de bain fines et petites, matelas dur. Rien de luxueux pour le prix qu'ils facturent.",7,Commentaire envoyé le 8 janvier 2022,3
Christel,5.0,79,Inconnu,La tranquillité et le bâtiment principal,Les chambres et les lodges ont besoin d'être rénovés. Air très moisi à l'entrée du bâtiment et de la chambre. Des meubles partout. Très négligé.,7,Commentaire envoyé le 8 janvier 2022,3
Mark,3.0,41,Inconnu,"C'est proche de Disney et il y a une navette qui va à Disney, donc j'ai le plus aimé l'emplacement/le transport. A part ça, malheureusement, il n'y a pas grand chose à aimer.","En dehors de la foule, ce qui est compréhensible, nous avons dû essayer de nous enregistrer trois fois car la chambre n'était pas prête la première fois et la deuxième fois, nous avons été envoyés dans une chambre déjà réservée. Lorsque nous avons dû faire la queue pour la troisième fois pour nous enregistrer, nous avons été désagréablement surpris par une chambre sale. Nous avons l'impression qu'il y a eu une erreur de réservation car il y avait 2 lits doubles. Les principales plaintes étaient : -1 des deux lits simples contenait des cheveux -Les toilettes étaient sales et avaient des traces -Le siège des toilettes avait aussi de petits poils épais -La baignoire/douche était endommagée et n'avait pas l'air hygiénique (moisissure/balayage) -Le les portes avaient des taches? Après avoir fait part de cette plainte à la réception, on m'a promis de nettoyer la chambre et à 22h30 du soir, quelqu'un a été envoyé qui ne parlait pas anglais et ne s'est ensuite brossé que les cheveux. Grâce à une conversation difficile via Google Translate, je lui ai montré toutes les plaintes non hygiéniques, il a compris le problème et est parti chercher des produits de nettoyage pour nettoyer les toilettes. Après un long voyage + journée à Disney ce n'est pas agréable de s'enregistrer comme ça, malheureusement j'ai aussi été aidé avec difficulté par le personnel qui ne parlait pas bien anglais. Au final, j'ai été bien aidée par une dame lors de son 2ème jour de travail qui parlait bien anglais. Malheureusement, je n'ai pas pu obtenir une chambre différente ou propre (à cause de la foule) et le responsable était trop occupé pour résoudre personnellement ce problème.",15,Commentaire envoyé le 8 janvier 2022,3
Bernardo,10.0,81,Inconnu,"Tout était excellent, l'attention du personnel, la distance du parc, tout était excellent",Inconnu,7,Commentaire envoyé le 5 janvier 2022,3
Suzanne,5.0,30,Inconnu,L'emplacement,"Propreté, climatisation très bruyante qu'on ne peut pas éteindre, pas de frigo, pas de brosse de toilette sur les toilettes",15,Commentaire envoyé le 28 décembre 2021,3
Erik,5.0,79,Inconnu,Bar confortable avec un service amical.,Beaucoup trop cher pour ce que vous obtenez. Les billets de parc doivent être inclus. Pas de service de chambre. C'est même trop demander d'apporter une bouteille d'eau dans la chambre.,15,Commentaire envoyé le 28 décembre 2021,3
Marcoclaudiamelissa,10.0,90,Inconnu,Emplacement nourriture et hospitalité,Inconnu,15,Commentaire envoyé le 27 décembre 2021,3
Angelo,6.0,79,Inconnu,Emplacement,Les chambres peuvent vraiment être meilleures,15,Commentaire envoyé le 16 décembre 2021,3
Montse,10.0,4,Inconnu,L'EMPLACEMENT PARFAIT À 10 MIN À PIED DU PARC ET AVEC LE BUS EN FACE. GRANDES CHAMBRES PROPRES ET SUPER CONFORTABLES.,Inconnu,15,Commentaire envoyé le 15 décembre 2021,3
Miga,5.0,79,Inconnu,Restaurant le soir et le petit déjeuner,Hygiène de la salle de bain - Enregistrement très long le matin - a été conseillé par les employés de le faire immédiatement le soir Doit s'enregistrer à nouveau en raison de l'erreur 2 au lieu de 1 chambre,15,Commentaire envoyé le 13 décembre 2021,3
Eduardo,4.0,4,Inconnu,Inconnu,"Si vous ne souscrivez pas à la demi-pension, vous ne dînerez pas. Aussi simple que cela. Le dîner est pour ceux qui ont la demi-pension et si vous ne l'avez pas, dînez dans les restaurants près du parc qui sont bondés de monde. Le petit déjeuner est également séparé et très cher. J'ai voyagé dans le monde entier au cours de ma vie et franchement, cet hôtel profite d'être à 10 minutes à pied du parc pour vous clouer au prix, mais pas de minibar ni de service de chambre ou quoi que ce soit. Résumé. L'un des pires hôtels où j'ai été en rapport qualité/prix.",15,Commentaire envoyé le 10 décembre 2021,3
Fabio,10.0,107,Inconnu,"Norme Disney, il suffit de choisir et de partir, vous n'avez même pas besoin de faire confiance ! Tout est parfait en termes d'hébergement, d'accès et d'équipements.",Inconnu,15,Commentaire envoyé le 9 décembre 2021,3
Dr,4.0,30,Inconnu,"personnel très sympathique, cordial. Bonnes contre-mesures corona et aussi contre le terrorisme grâce à des polders d'entrée relevables aux barrières, des scanners de poche et des bracelets mis à jour quotidiennement contre corona (malheureusement aucune possibilité pour les personnes handicapées de ne pas avoir à faire la queue).","Chambre 217 : le chauffage ne fonctionnait pas 2 nuits sur 3, la salle de bain était totalement sale à l'arrivée. Les enfants ont pris froid. Les lits des chambres 217, 3286 étaient si durs que nous avons quitté la chambre 3286 la nuit précédente. Écoute de la musique du haut-parleur extérieur jusqu'à 23h00, pas de sommeil possible. Petit-déjeuner 17 euros pour les petits enfants jusqu'à 5 ans / pour les adultes en conséquence plus (c'était soit 21 ou 24 euros. Situation de l'ascenseur catastrophique, surtout pour les personnes handicapées. Le placement supplémentaire en chambre vous a été demandé et les informations sur les personnes handicapées n'ont pas été facturées (a été pas du tout pris en compte / la personne handicapée devait marcher plus longtemps et attendre debout aux ascenseurs et la famille était répartie dans deux bâtiments différents au lieu d'être ensemble - au moins sur un étage)",15,Commentaire envoyé le 9 décembre 2021,3
Ursula,6.0,30,Inconnu,"L'emplacement des parcs est vraiment bon. Nous sommes allés au restaurant un soir pour le dîner. Buffet à volonté. C'était délicieux, la nourriture était chaude et la sélection était correcte. Notre chambre était propre et de taille convenable. Nous n'avons utilisé la chambre que pour dormir. C'était dans le bâtiment principal et juste à côté de l'ascenseur, mais vous n'avez rien remarqué.",Les chambres ont l'air un peu usées à certains endroits.,15,Commentaire envoyé le 8 décembre 2021,3
Stefaan,10.0,79,Inconnu,"Chambres propres, personnel sympathique.","Rien, mais ce n'est qu'après la rénovation. Pas si bon pour ça.",26,Commentaire envoyé le 9 mars 2020,3
H,6.0,41,Inconnu,"Distance du parc, 10 min à pied. Thème spacieux et calme.","L'état d'entretien était décevant, les boucliers de porte desserrés, la douche qui fuyait fortement. Le personnel du bar est très lent, attendant parfois 30 minutes pour le prochain verre. Partout autour de 26 degrés, les fenêtres peuvent s'ouvrir de 5 cm. Salle de petit déjeuner à plus de 28 degrés, assez chaude pour un mois de février.. Sinon un super séjour, personnel sympa, et oui, le prix est bien sûr beaucoup trop élevé pour ce que l'on a, mais ça on le sait d'avance.",26,Commentaire envoyé le 25 février 2020,3
Ana,10.0,107,Inconnu,"La suite de la forêt dorée était excellente, très bon petit déjeuner et bien situé pour se promener dans les parcs.","Un petit détail, il y avait peu d'options sans gluten pour les coeliaques dans le goûter de l'après-midi. Et pour le petit-déjeuner, il pourrait y avoir plus d'options de jus, des jus naturels (bouteilles)",26,Commentaire envoyé le 7 février 2020,3
Christian,10.0,30,Inconnu,"Tout était super, le personnel était très gentil et arrangeant. Vous vous tenez sans but dans le hall et êtes immédiatement adressé. La nourriture est bonne. Les chambres sont très joliment meublées. Le chemin vers les parcs et le village est à deux pas.",Malheureusement trop peu de prises (1x seulement disponible) dans les chambres. Sinon tout super,24,Commentaire envoyé le 28 janvier 2020,3
Sandraatje2310,10.0,79,Inconnu,Emplacement... hôtel... installations,Il y avait quelques problèmes avec le personnel... pas à ma personne... mais à mon compagnon. J'ai contacté Disney à ce sujet. Il a demandé des capsules de café supplémentaires... ils allaient les apporter... du jamais vu... et quelques défauts de plus... un client est un client... peu importe à quoi il ressemble !,24,Commentaire envoyé le 19 janvier 2020,3
Anonyme,8.0,31,Inconnu,"L'hôtel fait partie du complexe Disney Land. très bien situé, à distance de marche du parc, il y a une navette gratuite aller-retour. Des cartes sont délivrées pour entrer dans le parc une heure avant l'ouverture. Mais en fait, vous pouvez venir à 8h30 et ce sera déjà ouvert ! c'est vraiment bien.","L'hôtel est vieux. Très vieux. Tout, de l'équipement à l'intérieur, est extrêmement obsolète. Petits déjeuners très médiocres et restaurant sombre.",20,Commentaire envoyé le 24 octobre 2022,3
Anonyme,8.0,30,Inconnu,L'emplacement est génial sur le lac à Disney Village. Tout était propre et le service est correct,L'hôtel montre son âge,4,Commentaire envoyé le 2 mai 2022,3
Anonyme,7.0,41,Inconnu,L'emplacement aux parcs Disney,Il faisait très chaud et il n'était pas indiqué qu'il n'y ait pas d'ascenseur dans certains lodges. Nous avons dû monter 2 volées d'escaliers avec des sacs lourds et des valises.,21,Commentaire envoyé le 16 mars 2022,3
Anonyme,7.0,79,Inconnu,lieu,Les chambres étaient très basiques même si nous avions la formule golden logde,26,Commentaire envoyé le 11 février 2020,3
